PATH;VARIABLE_NAME;RELAY_NAME;CB_PATH;TYPE_BT;TYPE_MPU;BOOLEAN;INIT_VALUE;ID_REF;X_POS_I;X_CENTER;X_POS_F;Y_POS_I;Y_CENTER;Y_POS_F
LOCATION, INTERFACE;Li_IVe1Q1MtR1;Q1_MT;cde_gen_dj_qt_bimode/VE1/;BOOL;BOOL;1;TRUE;Var81;360;400;440;3280;3300;3320
LOCATION, INTERFACE;Li_IVe1Q1MtR2;Q1_MT;cde_gen_dj_qt_bimode/VE1/;BOOL;BOOL;1;TRUE;Var82;120;160;200;3360;3380;3400
LOCATION, INTERFACE;Li_IVe1QDetQtR1;Q_DET_QT;cde_gen_dj_qt/VE1/;BOOL;BOOL;1;TRUE;Var83;360;400;440;3360;3380;3400
LOCATION, INTERFACE;Li_IVe1QDetQtR2;Q_DET_QT;cde_gen_dj_qt/VE1/;BOOL;BOOL;1;TRUE;Var84;120;160;200;3440;3460;3480
LOCATION, INTERFACE;Li_IVe1QDfCiTfpR1;Q_DF_CI_TFP;sec_tfp/VE1/;BOOL;BOOL;1;TRUE;Var85;360;400;440;3440;3460;3480
LOCATION, INTERFACE;Li_IVe1QDfCiTfpR2;Q_DF_CI_TFP;sec_tfp/VE1/;BOOL;BOOL;1;TRUE;Var86;120;160;200;3520;3540;3560
LOCATION, INTERFACE;Li_IVe1QDfTfpR1;Q_DF_TFP;sec_tfp/VE1/;BOOL;BOOL;1;TRUE;Var87;360;400;440;3520;3540;3560
LOCATION, INTERFACE;Li_IVe1QDfTfpR2;Q_DF_TFP;sec_tfp/VE1/;BOOL;BOOL;1;TRUE;Var88;120;160;200;3600;3620;3640
LOCATION, INTERFACE;Li_IVe1QFrR1;Q_FR;cde_gen_dj_qt_bimode/VE1/;BOOL;BOOL;1;TRUE;Var89;360;400;440;3600;3620;3640
LOCATION, INTERFACE;Li_IVe1QFrR2;Q_FR;cde_gen_dj_qt_bimode/VE1/;BOOL;BOOL;1;TRUE;Var90;120;160;200;3680;3700;3720
LOCATION, INTERFACE;Li_IVe1QMiTfpR1;Q_MH_TFP;sec_tfp/VE1/;BOOL;BOOL;1;TRUE;Var91;360;400;440;3680;3700;3720
LOCATION, INTERFACE;Li_IVe1QMiTfpR2;Q_MH_TFP;sec_tfp/VE1/;BOOL;BOOL;1;TRUE;Var92;120;160;200;3760;3780;3800
LOCATION, INTERFACE;Li_IVe1QSecTfpR1;Q_SEC_TFP;sec_tfp/VE1/;BOOL;BOOL;1;TRUE;Var93;360;400;440;3760;3780;3800
LOCATION, INTERFACE;Li_IVe1QSecTfpR2;Q_SEC_TFP;sec_tfp/VE1/;BOOL;BOOL;1;TRUE;Var94;120;160;200;3840;3860;3880
LOCATION, INTERFACE;Li_IVe1QZDePtR1;Q_Z_DE_PT;cde_panto/VE1/;BOOL;BOOL;1;TRUE;Var95;360;400;440;3840;3860;3880
